school,percent_initially_unlabeled,1_MV_gender_mean_auc_wt,1_MV_gender_se_auc_wt,2_MV_gender_mean_auc_wt,2_MV_gender_se_auc_wt,1_MV_gender_mean_auc_micro,1_MV_gender_se_auc_micro,2_MV_gender_mean_auc_micro,2_MV_gender_se_auc_micro
UChicago30,0.5,0.60114739014996055,0.0076183200858523127,0.7208748456441455,0.011170040411028119,0.60114739014996055,0.0076183200858523127,0.7208748456441455,0.011170040411028119
MIT8,0.5,0.71278608670313881,0.0070941568226890626,0.80204718420849064,0.012173193191528696,0.71278608670313881,0.0070941568226890626,0.80204718420849064,0.012173193191528696
Pepperdine86,0.5,0.65603952711208535,0.010163537715058823,0.80456555100337668,0.018868982347347456,0.65603952711208535,0.010163537715058823,0.80456555100337668,0.018868982347347456
GWU54,0.5,0.57504386827561915,0.0042635331006650049,0.78120449947334125,0.010833476634251613,0.57504386827561915,0.0042635331006650049,0.78120449947334125,0.010833476634251613
UCSD34,0.5,0.60140383293898569,0.0047352162843406391,0.74052464133547613,0.0083399790243005711,0.60140383293898569,0.0047352162843406391,0.74052464133547613,0.0083399790243005711
Reed98,0.5,0.54134576686484981,0.019944893772803389,0.65950047418733693,0.02047374357796462,0.54134576686484981,0.019944893772803389,0.65950047418733693,0.02047374357796462
Mississippi66,0.5,0.67937562438007715,0.0054944835678447908,0.8196322220960981,0.012305289428189523,0.67937562438007715,0.0054944835678447908,0.8196322220960981,0.012305289428189523
Wake73,0.5,0.75421341577879675,0.0071377653911834996,0.82368530106686177,0.018751455562828263,0.75421341577879675,0.0071377653911834996,0.82368530106686177,0.018751455562828263
NYU9,0.5,0.55309101559654206,0.0043028399642465716,0.77252197961610858,0.0078905731349358989,0.55309101559654206,0.0043028399642465716,0.77252197961610858,0.0078905731349358989
Villanova62,0.5,0.69553547321158449,0.0067776657406620469,0.83824786949767693,0.0098967371965478796,0.69553547321158449,0.0067776657406620469,0.83824786949767693,0.0098967371965478796
UCSC68,0.5,0.49740743406786952,0.0073283841515357166,0.73149368146528815,0.011402167122726584,0.49740743406786952,0.0073283841515357166,0.73149368146528815,0.011402167122726584
UCSB37,0.5,0.53895719482010385,0.0047624536378780011,0.76970134181056826,0.0088280918922772449,0.53895719482010385,0.0047624536378780011,0.76970134181056826,0.0088280918922772449
Johns Hopkins55,0.5,0.67520791633604693,0.0084714122050024276,0.76695893782071023,0.015326688553526717,0.67520791633604693,0.0084714122050024276,0.76695893782071023,0.015326688553526717
FSU53,0.5,0.56429034606361983,0.0039132013220072211,0.78725924603876618,0.0050140040729232073,0.56429034606361983,0.0039132013220072211,0.78725924603876618,0.0050140040729232073
